"autd 11","1 - pbarre z non nul et relation"
"autd 12","dans le disque"
"autd 21","preuve de la bijectivité"
"autd 22","elle est sa propre réciproque"
"autd 31","cot(\phi/2) ou  tan(\phi/2) fois e^{i_theta}"
"autd 32","tan(\phi/2)e^{i_theta} dans le disque"
