"magic1 1 1";"sous-espace vectoriel";2
"magic1 1 2";"d forme linéaire";1
"magic1 2";"caractérisation par produit J";3
"magic1 3a1";"ss-algèbre";3
"magic1 3a2";"d morphisme ss-alg";1
"magic1 3b";"A inversible";3
"magic1 3c";"d(A) pas nul ne suffit pas";2
"magic1 4 1";"BC et CB";2
"magic1 4 2";"binôme";1
"magic1 5";"F et G supplémentaires";3
"magic1 6a";"(Trs) base";4
"magic1 6b1";"dimension F";1
"magic1 6b2";"dimension E";1
