"anal8 1","Phi linéaire"
"anal8 2","Phi injective"
"anal8 31","Im Phi => R continue; nulle en 0; dérivable en 0"
"anal8 32","R continue; nulle en 0; dérivable en 0 => dans Im Phi" 
