"frmint 11","a b c d distincts => f_a f_b f_c f_d libre"
"frmint 12","a b c d pas distincts => f_a f_b f_c f_d liée"
"frmint 21","famille des coord dans f_0 f_1 f_2 f_3"
"frmint 22","x_0 = 3/8"
"frmint 23","x_1 = 19/24"
"frmint 24","x_2 = -5/24"
"frmint 25","x_3 = 1/24"
"frmint 31","système"
"frmint 32","traitement système"
"frmint 41","système somme puissances"
"frmint 42","polynômes symétriques élem"
"frmint 43","polynôme X^3-3X^2/2 + 5X/8 -1/6"
