"somm3 11","a_0 = 1; a_1 = 0; a_2 = 1"
"somm3 12","a_3 = 2 ; a_4 = 9"
"somm3 13","justification existence suite d'entiers"
"somm3 21","manip coeff binom"
"somm3 22","chgt indice et formule du binôme"
"somm3 31","m entre 0 et n ; k entre 0 et m"
"somm3 32","k entre 0 et n ; m entre k et n"
"somm3 41","intervertion des sommes"
"somm3 42","seul k = n contribue"
