"EpPoinc 1a1","partie imaginaire Im/carré du mod "
"EpPoinc 1a2","donc dans H"
"EpPoinc 1b1","A_0 = Id"
"EpPoinc 1b2","composition"
"EpPoinc 1b3","bij. injectivité"
"EpPoinc 1b4","bij. surjectivité"
"EpPoinc 2a","c o A_theta = c"
"EpPoinc 2b","égalité <=> congrus mod pi"
"EpPoinc 3a","Image dans le cercle"
"EpPoinc 3b","Cercle dans l'image"
